Date,Country,Activity,Sex ,Age,Fatal (Y/N),Hemisphere
07-Sep-2016,USA,Swimming,F,51,N,northern
05-Sep-2016,USA,Boogie boarding,F,12,N,northern
04-Sep-2016,USA,Body boarding,M,9,N,northern
01-Sep-2016,USA,Spearfishing,M,22,N,northern
29-Aug-2016,USA,Surfing,M,25,N,northern
29-Aug-2016,USA,Surfing,M,37,N,northern
25-Aug-2016,USA,Wading,M,49,N,northern
06-Aug-2016,USA,SUP Foil boarding,M,21,N,northern
04-Aug-2016,USA,Surfing,M,22,N,northern
27-Jul-2016,USA,Lobstering,M,43,N,northern
17-Jul-2016,USA,Fishing in Alabama Deep Fishing Rodeo,,,N,northern
16-Jul-2016,USA,Surfing,F,9,N,northern
16-Jul-2016,USA,,F,11,N,northern
15-Jul-2016,USA,Kite surfing,M,61,N,northern
15-Jul-2016,USA,Swimming,M,,N,northern
08-Jul-2016,USA,Fishing for squid,M,,N,northern
07-Jul-2016,USA,Fishing,M,59,N,northern
07-Jul-2016,USA,Fishing for sharks,M,,N,northern
06-Jul-2016,USA,Swimming,F,42,N,northern
27-Jun-2016,USA,,M,35,N,northern
25-Jun-2016,USA,Surfing,M,11,N,northern
21-Jun-2016,USA,Floating,M,42,N,northern
21-Jun-2016,USA,Wading,M,,N,northern
15-Jun-2016,USA,Surfing,M,,N,northern
14-Jun-2016,USA,Floating in tube,F,6,N,northern
11-Jun-2016,USA,Standing,M,19,N,northern
07-Jun-2016,USA,Surfing,M,27,,northern
05-Jun-2016,USA,Swimming,M,64,N,northern
29-May-2016,USA,Swimming,F,52,N,northern
29-May-2016,USA,Swimming,M,13,N,northern
22-May-2016,USA,Swimming,F,57,N,northern
21-May-2016,USA,Swimming,F,22,N,northern
21-May-2016,USA,Swimming,F,11,N,northern
18-May-2016,USA,Swimming,M,48,N,northern
15-May-2016,USA,Teasing a shark,F,23,N,northern
03-May-2016,USA,Floating,M,59,N,northern
23-Apr-2016,USA,Surfing,M,15,N,northern
13-Apr-2016,USA,Spearfishing,M,26,N,northern
07-Apr-2016,USA,Fishing,M,34,N,northern
07-Apr-2016,USA,SUP,M,,,northern
31-Mar-2016,USA,Snorkeling,F,46,N,northern
28-Mar-2016,USA,,M,Teen,,northern
13-Mar-2016,USA,Surfing,,,,northern
11-Mar-2016,USA,Body surfing,M,19,N,northern
04-Mar-2016,USA,,M,12,N,northern
28-Jan-2016,USA,Surfing,M,,N,northern
25-Jan-2016,USA,Surfing,F,15,N,northern
24-Jan-2016,USA,Spearfishing,M,,N,northern
23-Jan-2016,USA,Paddle boarding,M,48,N,northern
22-Dec-2015,USA,Paddle boarding,M,71,N,northern
16-Nov-2015,USA,Surfing,M,,N,northern
15-Nov-2015,USA,Swimming,F,,N,northern
15-Nov-2015,USA,Surfing,M,28,N,northern
07-Nov-2015,USA,Surfing,F,9,,northern
03-Nov-2015,USA,Swimming,M,54,N,northern
01-Nov-2015,USA,Wading,F,28,N,northern
28-Oct-2015,USA,Body boarding,M,10,N,northern
21-Oct-2015,USA,Surfing,M,21,N,northern
19-Oct-2015,USA,Surfing,M,21,N,northern
17-Oct-2015,USA,Surfing,M,32,,northern
17-Oct-2015,USA,Swimming,M,44,N,northern
13-Oct-2015,USA,Kayak Fishing,M,,N,northern
09-Oct-2015,USA,Boogie boarding,F,9,N,northern
09-Oct-2015,USA,Surfing,M,25,N,northern
05-Oct-2015,USA,Body boarding,M,22,N,northern
05-Oct-2015,USA,Wading,M,13,N,northern
04-Oct-2015,USA,Surfing,M,14,N,northern
29-Sep-2015,USA,Surfing,M,22,N,northern
24-Sep-2015,USA,Kayak fishing,M,,N,northern
20-Sep-2015,USA,Surfing,M,14,N,northern
20-Sep-2015,USA,Spearfishing,M,27,N,northern
20-Sep-2015,USA,Wading,M,12,N,northern
20-Sep-2015,USA,Photographing fish,M,16,N,northern
19-Sep-2015,USA,Kayak Fishing,M,,N,northern
18-Sep-2015,USA,Swimming,M,,N,northern
17-Sep-2015,USA,Surfing,M,20,N,northern
06-Sep-2015,USA,Stand-Up Paddleboarding,F,50,N,northern
05-Sep-2015,USA,Kayak Fishing,M,29,N,northern
03-Sep-2015,USA,,M,,N,northern
29-Aug-2015,USA,Surfing,F,54,N,northern
29-Aug-2015,USA,Surfing,M,21,N,northern
22-Aug-2015,USA,,M,,,northern
20-Aug-2015,USA,Surfing,M,15,N,northern
19-Aug-2015,USA,Walking,F,10,N,northern
18-Aug-2015,USA,Kayak Fishing,M,22,N,northern
10-Aug-2015,USA,Spearfishing,M,57,N,northern
26-Jul-2015,USA,Surfing,M,25,N,northern
26-Jul-2015,USA,Floating,F,35,,northern
23-Jul-2015,USA,Kayak Fishing,M,31,N,northern
10-Jul-2015,USA,Surfing,M,38,N,northern
08-Jul-2015,USA,Treading water,M,39,,northern
04-Jul-2015,USA,,M,32,N,northern
01-Jul-2015,USA,Swimming,M,68,N,northern
30-Jun-2015,USA,Playing in the water,M,12,N,northern
27-Jun-2015,USA,Swimming,M,18,N,northern
26-Jun-2015,USA,Swimming,F,,,northern
26-Jun-2015,USA,Standing,M,43,N,northern
25-Jun-2015,USA,Body surfing?,M,47,N,northern
24-Jun-2015,USA,Swimming,M,6,N,northern
23-Jun-2015,USA,Standing,M,9,N,northern
17-Jun-2015,USA,Swimming,M,10,N,northern
14-Jun-2015,USA,Wading,M,16,N,northern
14-Jun-2015,USA,Wading,F,12,N,northern
13-Jun-2015,USA,,F,,N,northern
11-Jun-2015,USA,Boogie boarding,F,13,N,northern
07-Jun-2015,USA,Playing,M,11,N,northern
05-Jun-2015,USA,Attempting to rescue a shark,F,17,N,northern
29-May-2015,USA,Standing,F,14,N,northern
29-May-2015,USA,Wading,F,19,N,northern
24-May-2015,USA,Swimming,F,13,N,northern
15-May-2015,USA,,M,30,N,northern
07-May-2015,USA,Swimming,M,,N,northern
29-Apr-2015,USA,Snorkeling,F,65,Y,northern
26-Apr-2015,USA,Wading,M,63,N,northern
13-Apr-2015,USA,Photographing the shark,M,48,N,northern
03-Apr-2015,USA,Spearfishing,M,70,N,northern
18-Mar-2015,USA,Standing / Snorkeling,M,58,N,northern
27-Jan-2015,USA,Shark fishing,M,20,N,northern
19-Jan-2015,USA,Fishing,M,,N,northern
08-Jan-2015,USA,Swimming after falling overboard,M,38,,northern
01-Jan-2015,USA,,M,12,N,northern
28-Dec-2014,USA,Surfing,M,50,N,northern
17-Nov-2014,USA,,,,N,northern
16-Nov-2014,USA,Surfing,M,44,N,northern
13-Nov-2014,USA,Snorkeling,M,53,N,northern
08-Nov-2014,USA,Surfing,M,18,N,northern
31-Oct-2014,USA,Surfing,F,34,N,northern
22-Oct-2014,USA,Stand-Up Paddleboarding,F,,N,northern
20-Oct-2014,USA,Stand-Up Paddleboarding,M,,N,northern
19-Oct-2014,USA,Canoeing,F,,N,northern
18-Oct-2014,USA,Surfing,M,,N,northern
14-Oct-2014,USA,Standing in inner tube,F,7,N,northern
12-Oct-2014,USA,Body surfing or Boogie boarding,F,,N,northern
05-Oct-2014,USA,Surfing,M,29,N,northern
07-Oct-2014,USA,Fishing,F,40,N,northern
05-Oct-2014,USA,Surfing,M,15,N,northern
03-Oct-2014,USA,Kayaking,M,,N,northern
03-Oct-2014,USA,Kayaking ,M,,N,northern
02-Oct-2014,USA,Surfing,M,28,N,northern
21-Sep-2014,USA,Surfing,M,,N,northern
13-Sep-2014,USA,Surfing,M,,,northern
06-Sep-2014,USA,Fishing ,M,43,N,northern
03-Sep-2014,USA,Kayaking ,F,20s,N,northern
02-Sep-2014,USA,Fishing,M,52,N,northern
31-Aug-2014,USA,Body surfing,F,13,N,northern
29-Aug-2014,USA,Surfing,M,17,N,northern
29-Aug-2014,USA,,,,,northern
28-Aug-2014,USA,Fishing,M,33,N,northern
27-Aug-2014,USA,Surfing,M,29,N,northern
27-Aug-2014,USA,Standing,F,,N,northern
25-Aug-2014,USA,Fishing for sharks,M,,N,northern
24-Aug-2014,USA,Kite boarding,,,N,northern
12-Aug-2014,USA,Standing,M,,N,northern
10-Aug-2014,USA,,M,26,N,northern
09-Aug-2014,USA,Swimming,F,10,N,northern
08-Aug-2014,USA,Swimming,M,7,N,northern
06-Aug-2014,USA,Boogie boarding,M,10,N,northern
05-Aug-2014,USA,Swimming,F,45,N,northern
02-Aug-2014,USA,Surfing,M,50s,N,northern
02-Aug-2014,USA,Boogie boarding,M,8,N,northern
27-Jul-2014,USA,Swimming,M,Teen,N,northern
21-Jul-2014,USA,Standing,M,8,N,northern
16-Jul-2014,USA,Swimming,M,61,N,northern
14-Jul-2014,USA,Swimming,M,39,N,northern
12-Jul-2014,USA,Body surfing,M,,N,northern
9-Jul-2014,USA,Surfing,M,14,N,northern
5-Jul-2014,USA,Swimming,M,,N,northern
5-Jul-2014,USA,Surfing,M,,N,northern
3-Jul-2014,USA,Body surfing,M,19,N,northern
09-Jun-2014,USA,Standing,M,16,N,northern
07-Jun-2014,USA,Kneeling in the water,F,14,N,northern
01-Jun-2014,USA,Swimming,F,22,N,northern
01-Jun-2014,USA,Tagging sharks,F,37,N,northern
15-May-2014,USA,Body boarding,F,38,N,northern
11-May-2014,USA,Surfing,M,12,N,northern
10-May-2014,USA,Diving,M,,,northern
06-May-2014,USA,Swimming,F,40,N,northern
01-May-2014,USA,Surfing,M,23,N,northern
22-Apr-2014,USA,Swimming,M ,42,N,northern
15-Apr-2014,USA,Wading,M,25,N,northern
04-Apr-2014,USA,Surfing,M,teen,N,northern
04-Apr-2014,USA,Surfing,M,teen,N,northern
22-Mar-2014,USA,Kite Surfing,M,,N,northern
21-Mar-2014,USA,Surfing,M,9,N,northern
02-Mar-2014,USA,Surfing,M,21,N,northern
11-Dec-2013,USA,Boogie boarding,M,29,N,northern
10-Dec-2013,USA,Surfing,M,30,N,northern
02-Dec-2013,USA,Kayaking / Fishing,M,57,Y,northern
22-Nov-2013,USA,Surfing,M,25,N,northern
07-Nov-2013,USA,Body boarding,M,16,N,northern
07-Nov-2013,USA,Surfing,M,,N,northern
31-Oct-2013,USA,Kiteboarding,M,46,N,northern
23-Oct-2013,USA,Diving ,M,45,N,northern
20-Oct-2013,USA,Surfing,M,25,N,northern
19-Oct-2013,USA,Wading,M,6,N,northern
06-Oct-2013,USA,Surfing,M,45,N,northern
10-Oct-2013,USA,Wading,M,12,N,northern
29-Sep-2013,USA,Surfing,M,50,N,northern
25-Sep-2013,USA,Standing,M,7,N,northern
21-Sep-2013,USA,Swimming,M,45,N,northern
21-Sep-2013,USA,Surfing,M,,N,northern
14-Sep-2013,USA,Swimming,M,21,N,northern
12-Sep-2013,USA,Surfing,F,13,N,northern
08-Sep-2013,USA,,F,,UNKNOWN,northern
07-Sep-2013,USA,Surfing,M,43,N,northern
07-Sep-2013,USA,Standing,M,25,N,northern
02-Sep-2013,USA,Swimming,M,17,N,northern
01-Sep-2013,USA,,M,3,N,northern
01-Sep-2013,USA,Casting a net,M,9,N,northern
31-Aug-2013,USA,Swimming,M,,N,northern
29-Aug-2013,USA,Marathon swimming,F,47,,northern
25-Aug-2013,USA,Boogie boarding,F,11,N,northern
18-Aug-2013,USA,Surfing,M,16,N,northern
17-Aug-2013,USA,Surfing,F,,N,northern
14-Aug-2013,USA,Snorkeling,F,20,Y,northern
13-Aug-2013,USA,Kiteboarding,F,19,N,northern
11-Aug-2013,USA,Surfing,M,10,N,northern
05-Aug-2013,USA,Fishing,M,17,N,northern
31-Jul-2013,USA,Snorkeling,F,56,N,northern
30-Jul-2013,USA,Swimming,M,32,N,northern
29-Jul-2013,USA,Surfing,M,18,N,northern
19-Jul-2013,USA,Walking in surf,F,50,N,northern
17-Jul-2013,USA,Swimming ,M,teen,N,northern
11-Jul-2013,USA,Wading,F,63,N,northern
25-Jun-2013,USA,Kayaking / Fishing,M,,N,northern
25-Jun-2013,USA,Swimming,M,,N,northern
25-Jun-2013,USA,Swimming,M,14,N,northern
18-Jun-2013,USA,Swimming,M,28,N,northern
17-Jun-2013,USA,Swimming,M,15,N,northern
15-Jun-2013,USA,Surfing,F,,N,northern
14-Jun-2013,USA,Boogie Boarding,F,10,N,northern
06-Jun-2013,USA,Fishing for sharks,M,58,N,northern
27-May-2013,USA,Diving,M,32,N,northern
27-May-2013,USA,Swimming,M,11,N,northern
08-May-2013,USA,Surfing,M,42,,northern
04-May-2013,USA,Surfing,M,16,N,northern
17-Apr-2013,USA,Playing in the surf,M,9,N,northern
13-Apr-2013,USA,Surfing,M,21,N,northern
04-Apr-2013,USA,Swimming,M,50,N,northern
02-Apr-2013,USA,Surfing,M,58,N,northern
21-Feb-2013,USA,Surfing,,,N,northern
21-Feb-2013,USA,Surfing,M,,N,northern
10-Feb-2013,USA,Surfing,M,16,N,northern
16-Jan-2013,USA,Surfing,M,43,N,northern
31-Dec-2012,USA,Swimming,M,,N,northern
05-Dec-2012,USA,Surfing,M,60,N,northern
30-Nov-2012,USA,Snorkeling,M,61,N,northern
19-Nov-2012,USA,Surfing,M,14,N,northern
04-Nov-2012,USA,Diving,M,30,N,northern
04-Nov-2012,USA,Surfing,M,43,N,northern
30-Oct-2012,USA,Surfing,M,25,N,northern
27-Oct-2012,USA,Swimming,F,51,N,northern
23-Oct-2012,USA,Surfing,M,39,Y,northern
19-Oct-2012,USA,,F,35,N,northern
18-Oct-2012,USA,Surfing,M,24,N,northern
18-Oct-2012,USA,Paddle boarding,M,55,N,northern
16-Oct-2012,USA,,M,,,northern
10-Oct-2012,USA,Windsurfing,M,42,N,northern
25-Sep-2012,USA,Surfing,M,21,N,northern
24-Sep-2012,USA,Surfing,M,22,N,northern
16-Sep-2012,USA,Surfing,M,52,N,northern
09-Sep-2012,USA,Surfing,,19,N,northern
08-Sep-2012,USA,Surfing,M,25,N,northern
08-Sep-2012,USA,Swimming,M,,N,northern
06-Sep-2012,USA,Surfing,M,30s,N,northern
06-Sep-2012,USA,Surfing,M,37,N,northern
04-Sep-2012,USA,Surfing,M,32,N,northern
02-Sep-2012,USA,Boogie boarding,F,8,N,northern
02-Sep-2012,USA,Spearfishing,,,N,northern
02-Sep-2012,USA,Swimming or boogie boarding,F,56,N,northern
15-Aug-2012,USA,Wading or swimming,M,31,N,northern
08-Aug-2012,USA,Free diving ,M,56,N,northern
31-Jul-2012,USA,Surfing,M,17,N,northern
30-Jul-2012,USA,Surfing,M,44,N,northern
30-Jul-2012,USA,Body surfing,M,50,N,northern
24-Jul-2012,USA,,M,12,,northern
08-Jul-2012,USA,Swimming,F,43,N,northern
07-Jul-2012,USA,Kayaking,M,52,N,northern
26-Jun-2012,USA,Swimming,M,6,N,northern
26-Jun-2012,USA,Surfing,M,26,N,northern
26-Jun-2012,USA,Sitting in the water,F,16,N,northern
22-Jun-2012,USA,Swimming,M,12,N,northern
19-Jun-2012,USA,Standing,M,16,,northern
18-Jun-2012,USA,Wading,F,6,N,northern
15-Jun-2012,USA,Fishing,M,23,N,northern
14-Jun-2012,USA,Swimming,F,18,N,northern
14-Jun-2012,USA,Swimming,M,,N,northern
14-Jun-2012,USA,Swimming,M,,N,northern
14-Jun-2012,USA,Swimming,M,16,N,northern
02-Jun-2012,USA,Surfing,F,12,N,northern
02-Jun-2012,USA,Boogie Boarding,M,25,N,northern
31-May-2012,USA,Wading,F,33,N,northern
23-May-2012,USA,Surfing,M,22,N,northern
20-May-2012,USA,Kayak Fishing,M,,N,northern
12-May-2012,USA,Kayaking / Fishing,M,30,N,northern
09-May-2012,USA,Swimming,F,47,N,northern
06-May-2012,USA,Paddle boarding,F,15,N,northern
19-Apr-2012,USA,Surfing,M,28,N,northern
03-Apr-2012,USA,Surfing,M,28,N,northern
24-Mar-2012,USA,Surfing,M,21,N,northern
15-Mar-2012,USA,Surfing,M,61,N,northern
14-Mar-2012,USA,Surfing,F,15,N,northern
14-Mar-2012,USA,Surfing,M,17,N,northern
04-Mar-2012,USA,Kite Surfing,M,19,N,northern
26-Feb-2012,USA,Kite Surfing,M,,N,northern
27-Jan-2012,USA,Snorkeling,,,N,northern
13-Jan-2012,USA,Surfing,M,53,N,northern
31-Dec-2011,USA,,M,,N,northern
23-Dec-2011,USA,Surfing,M,27,N,northern
21-Dec-2011,USA,Canoeing,M,,N,northern
06-Dec-2011,USA,Surfing,F,,N,northern
22-Nov-2011,USA,Kayaking,M,,N,northern
29-Oct-2011,USA,Surfing,M,27,N,northern
20-Oct-2011,USA,Surfing,M,41,N,northern
11-Oct-2011,USA,Surfing,M,,N,northern
10-Oct-2011,USA,Surfing,M,,N,northern
02-Oct-2011,USA,Wade fishing,M,,N,northern
01-Oct-2011,USA,,M,29,N,northern
30-Sep-2011,USA,Surfing,M,27,,northern
24-Sep-2011,USA,Spearfishing,M,21,N,northern
24-Sep-2011,USA,Jumping in the waves,M,5,N,northern
20-Sep-2011,USA,Canoeing,M,,N,northern
16-Sep-2011,USA,Surfing,M,25,N,northern
11-Sep-2011,USA,Surfing,M,37,N,northern
04-Sep-2011,USA,Surfing,,,N,northern
02-Sep-2011,USA,Surfing,M,19,N,northern
31-Aug-2011,USA,Surfing,M,19,N,northern
28-Aug-2011,USA,Wade Fishing,F,39,N,northern
24-Aug-2011,USA,Surfing,M,21,N,northern
24-Aug-2011,USA,,M,10,N,northern
17-Aug-2011,USA,Wading,F,20s,N,northern
17-Aug-2011,USA,,M,12,,northern
15-Aug-2011,USA,Playing in the surf,M,7,N,northern
25-Jul-2011,USA,Wade Fishing,M,,N,northern
19-Jul-2011,USA,Boogie Boarding,F,6,N,northern
13-Jul-2011,USA,Surf fishing,M,,N,northern
07-Jul-2011,USA,Swimming,M,12,N,northern
07-Jul-2011,USA,Wade Fishing,M,14,N,northern
26-Jun-2008,USA,Playing in the surf,F,10,N,northern
24-Jun-2011,USA,Surfing,M,,N,northern
21-Jun-2011,USA,Jet skiing,M,20,N,northern
12-Jun-2011,USA,Scuba diving,M,28,N,northern
06-Jun-2011,USA,Spearfishing,M,28,N,northern
06-Jun-2011,USA,Wading,M,19,N,northern
30-May-2011,USA,Standing or boogie boardin,F,22,N,northern
25-May-2011,USA,Surfing,F,,N,northern
22-May-2011,USA,Paddle boarding,F,,N,northern
13-May-2011,USA,Body surfing,M,86,N,northern
13-May-2011,USA,Surfing,M,37,N,northern
10-May-2011,USA,Fishing ,M,,N,northern
26-Apr-2011,USA,Spearfishing,M,32,N,northern
22-Apr-2011,USA,Surfing ,M,49,N,northern
29-Mar-2011,USA,"Standing, holding shark pup",M,,N,northern
26-Dec-2010,USA,Body boarding,M,16,N,northern
11-Dec-2010,USA,Surfing,M,46,N,northern
19-Nov-2010,USA,Snorkeling,M,33,N,northern
28-Oct-2010,USA,Surfing,M,,N,northern
23-Oct-2010,USA,Scuba diving,M,30,N,northern
22-Oct-2010,USA,Body boarding,M,19,Y,northern
27-Sep-2010,USA,Surfing,M,29,N,northern
24-Sep-2010,USA,Surfing,M,18,N,northern
07-Sep-2010,USA,Swimming,M,27,N,northern
04-Sep-2010,USA,Surfing,M,,N,northern
03-Sep-2010,USA,Surfing,M,24,N,northern
03-Sep-2010,USA,Surfing,M,24,N,northern
18-Aug-2010,USA,Boogie Boarding,M,10,N,northern
14-Aug-2010,USA,Kayak Fishing,M,45,N,northern
07-Aug-2010,USA,Surfing,M,25,N,northern
05-Aug-2010,USA,Swimming,F,,,northern
02-Aug-2010,USA,Kayaking,M,,N,northern
02-Aug-2010,USA,Standing,F,37,N,northern
25-Jul-2010,USA,Standing,M,16,N,northern
23-Jul-2010,USA,Surfing,M,20,N,northern
19-Jul-2010,USA,Swimming,M,10,N,northern
17-Jul-2010,USA,Swimming,F,13,N,northern
17-Jul-2010,USA,Surfing,M,55,N,northern
16-Jul-2010,USA,Fishing,M,,N,northern
11-Jul-2010,USA,Fishing,M,,N,northern
03-Jul-2010,USA,Fishing,M,20,N,northern
02-Jul-2010,USA,Surfing,M,19,N,northern
02-Jul-2010,USA,Stand-Up Paddleboarding,M,48,N,northern
27-Jun-2010,USA,Surfing,M,20,N,northern
25-Jun-2010,USA,Boogie Boarding,F,6,N,northern
25-Jun-2010,USA,Swimming,F,13,N,northern
10-Jun-2010,USA,Boogie Boarding,F,18,N,northern
30-May-2010,USA,Fishing,M,49,N,northern
01-May-2010,USA,Wading,F,10,N,northern
28-Apr-2010,USA,Measuring sharks,M,29,N,northern
19-Apr-2010,USA,Surfing,M,68,N,northern
06-Feb-2010,USA,Surf fishing / wading,M,,N,northern
03-Feb-2010,USA,Kite Boarding,M,38,Y,northern
06-Jan-2010,USA,Spearfishing,M,32,N,northern
05-Dec-2009,USA,Diving,M,58,N,northern
25-Nov-2009,USA,Surfing,M,49,,northern
24-Nov-2009,USA,Wading,M,10,N,northern
16-Nov-2009,USA,Fishing,M,31,N,northern
16-Nov-2009,USA,Surfing,M,22,N,northern
13-Nov-2009,USA,Surfing,F,27,N,northern
11-Nov-2009,USA,Surfing,M,18,N,northern
05-Nov-2009,USA,Surfing,M,21,N,northern
24-Oct-2009,USA,Surfing,M,,N,northern
19-Oct-2009,USA,Surfing,M,54,N,northern
09-Oct-2009,USA,Surfing,M,,N,northern
26-Sep-2009,USA,Swimming,M,,N,northern
12-Sep-2009,USA,Swimming,M,60,Y,northern
30-Aug-2009,USA,Surfing,M,,N,northern
25-Aug-2009,USA,Swimming,F,22,N,northern
10-Aug-2009,USA,Swimming,M,26,N,northern
06-Aug-2009,USA,Surfing,M,,N,northern
01-Aug-2009,USA,Wade Fishing,M,56,N,northern
24-Jul-2009,USA,Wading,F,14,N,northern
22-Jul-2009,USA,Swimming,F,26,N,northern
22-Jul-2009,USA,Swimming,F,19,N,northern
11-Jul-2009,USA,Paddle-surfing,M,,N,northern
05-Jul-2009,USA,Boogie Boarding,F,12,N,northern
04-Jul-2009,USA,Swimming,F,43,N,northern
21-Jun-2009,USA,Surfing,M,26,,northern
16-Jun-2009,USA,Crawling,M,14,,northern
25-May-2009,USA,Swimming,M,,N,northern
17-May-2009,USA,Surfing,M,31,N,northern
16-May-2009,USA,Surfing,M,49,N,northern
16-May-2009,USA,Surfing,M,55,N,northern
28-Apr-2009,USA,,F,,N,northern
25-Apr-2009,USA,Surfing,M,,N,northern
21-Apr-2009,USA,Surfing,M,20,N,northern
19-Apr-2009,USA,Surfing,M,52,N,northern
17-Apr-2009,USA,Surfing,M,31,N,northern
11-Apr-2009,USA,Spearfishing,M,49,,northern
06-Apr-2009,USA,Spearfishing,M,,N,northern
03-Apr-2009,USA,Wading,M,15,N,northern
18-Mar-2009,USA,Surfing,F,17,N,northern
17-Mar-2009,USA,Swimming,M,61,N,northern
08-Feb-2009,USA,Air Disaster,M,,Y,northern
20-Dec-2008,USA,Kayaking,M,,N,northern
08-Oct-2008,USA,Fishing,M,11,N,northern
28-Sep-2008,USA,Surfing,M,44,N,northern
28-Sep-2008,USA,Surfing,M,40,N,northern
14-Sep-2008,USA,Swimming,M,32,N,northern
09-Sep-2008,USA,Surfing,M,40,N,northern
08-Sep-2008,USA,Surfing,M,,N,northern
06-Sep-2008,USA,Surfing,M,43,N,northern
06-Sep-2008,USA,Surfing,M,15,N,northern
